
Bogført;Tekst;Rentedato;Beløb;Saldo
02-01-2018;Bs betaling MASTERCARD;02-01-2018;-480,00;886,93
02-01-2018;Dankort-nota REMA 1000 Rønn 99190;02-01-2018;-178,03;1366,93
02-01-2018;Dankort-nota FDB Kvickly Rø 92112;02-01-2018;-103,75;1544,96
02-01-2018;Dankort-nota FDB Kvickly Rø 26149;02-01-2018;-124,00;1648,71
02-01-2018;Dankort-nota REMA 1000 Rønne 4406;02-01-2018;-157,60;1772,71
02-01-2018;Dankort-nota FDB Kvickly Rø 66173;02-01-2018;-92,50;1930,31
29-12-2017;Bgs Grundkonto med betal;29-12-2017;-5700,00;2022,81
29-12-2017;Bgs Gevinstopsparing;29-12-2017;-5000,00;7722,81
29-12-2017;Bgs budget;29-12-2017;-10000,00;12722,81
29-12-2017;Dankort-nota MENY           40049;29-12-2017;-49,95;22722,81
29-12-2017;Dankort-nota Netto Rønne    27659;29-12-2017;-125,00;22772,76
29-12-2017;104: UDBET. FRA DSA;29-12-2017;6785,00;22897,76
29-12-2017;Tjenestemandspension;29-12-2017;1701,00;16112,76
29-12-2017;Pension fra PKA                    Meddelnr. 02603146317363;29-12-2017;6564,33;14411,76
29-12-2017;Løn;29-12-2017;7370,72;7847,43
