
Bogført;Tekst;Rentedato;Beløb;Saldo
27-12-2017;Dankort-nota Netto Rønne    23914;27-12-2017;-82,95;692,20
27-12-2017;Dankort-nota Land & Fritid- 20300;27-12-2017;-69,95;775,15
27-12-2017;Dankort-nota Restaurant Texa 4134;27-12-2017;-350,00;845,10
22-12-2017;Dankort-nota FDB Kvickly Rø 65580;22-12-2017;-268,80;1195,10
22-12-2017;Dankort-nota RØNNE FISKEFOR 11755;22-12-2017;-417,00;1463,90
22-12-2017;Dankort-nota REMA 1000 Rønne  488;22-12-2017;-240,25;1880,90
21-12-2017;Bgs Fra Gevinstopsparing;20-12-2017;2000,00;2121,15
21-12-2017;Dankort-nota Cocks and Cows  9993;21-12-2017;-541,00;121,15
21-12-2017;MobilePay: Palle Arn;21-12-2017;500,00;662,15
20-12-2017;Bgs Fra Gevinstopsparing;20-12-2017;2000,00;162,15
20-12-2017;Dankort-nota REMA 1000 Rønn 99522;20-12-2017;-110,00;-1837,85
20-12-2017;Dankort-nota REMA 1000 Rønn 72786;20-12-2017;-291,20;-1727,85
20-12-2017;Dankort-nota TANDLÆGE NIELS 14484;20-12-2017;-1763,00;-1436,65
19-12-2017;Dankort-nota Punkt 1, Rønne 85667;19-12-2017;-149,00;326,35
18-12-2017;Pengeautomat den 16.12. kl. 12.07  0650-74 eksnr. 4046;16-12-2017;-500,00;475,35
18-12-2017;Bgs Fra Gevinstopsparing;15-12-2017;2000,00;975,35
18-12-2017;Dankort-nota FDB Kvickly Rø 62542;18-12-2017;-165,45;-1024,65
18-12-2017;Dankort-nota Netto Vibegård 35380;18-12-2017;-235,00;-859,20
18-12-2017;Dankort-nota Vibegård       30726;18-12-2017;-25,00;-624,20
18-12-2017;Dankort-nota MATAS - 17795  72754;18-12-2017;-499,95;-599,20
18-12-2017;Dankort-nota Netto Rønne    13267;18-12-2017;-132,40;-99,25
15-12-2017;Dankort-nota REMA 1000 Rønn 80989;15-12-2017;-158,00;33,15
15-12-2017;Dankort-nota FDB Kvickly Rø 57592;15-12-2017;-311,90;191,15
15-12-2017;Dankort-nota, nr. 25039;15-12-2017;-55,00;503,05
14-12-2017;Dankort-nota FDB Kvickly Rø 59977;14-12-2017;-215,45;558,05
14-12-2017;Dankort-nota Vibegård       30692;14-12-2017;-65,00;773,50
14-12-2017;Dankort-nota FDB Kvickly Rø 12806;14-12-2017;-414,95;838,50
14-12-2017;Dankort-nota jem&fix Rønne   9865;14-12-2017;-49,95;1253,45
14-12-2017;Dankort-nota MENY            5214;14-12-2017;-114,95;1303,40
14-12-2017;Dankort-nota Poul Pava Collec 636;14-12-2017;-148,00;1418,35
13-12-2017;Dankort-nota MobilePay      19748;13-12-2017;-80,00;1566,35
13-12-2017;Dankort-nota Færgen Caterin 85810;13-12-2017;-145,95;1646,35
12-12-2017;Pengeautomat den 12.12. kl. 13.58  2112-78 eksnr. 6367;12-12-2017;-500,00;1792,30
12-12-2017;Dankort-nota Rejsekort - DS 18378;12-12-2017;-300,00;2292,30
11-12-2017;Dankort-nota MobilePay      68473;11-12-2017;-167,00;2592,30
11-12-2017;Dankort-nota Netto DTU      67105;11-12-2017;-173,30;2759,30
11-12-2017;Dankort-nota Færgen Caterin 26610;11-12-2017;-89,95;2932,60
08-12-2017;Dankort-nota Rønne Apotek   74746;08-12-2017;-113,95;3022,55
07-12-2017;Bgs Lisbeth Nygaard Nils           son;07-12-2017;2000,00;3136,50
07-12-2017;Dankort-nota REMA 1000 Rønn 72344;07-12-2017;-215,05;1136,50
07-12-2017;Dankort-nota FDB Kvickly Rø 59410;07-12-2017;-75,00;1351,55
07-12-2017;Dankort-nota Vibegård       30369;07-12-2017;-25,00;1426,55
07-12-2017;Dankort-nota Land & Fritid- 12620;07-12-2017;-139,90;1451,55
07-12-2017;Dankort-nota RØNNE FISKEFORR 9153;07-12-2017;-100,00;1591,45
07-12-2017;Dankort-nota jem&fix Rønne   5479;07-12-2017;-38,00;1691,45
07-12-2017;Dankort-nota Høiers Iscafe  49859;07-12-2017;-49,00;1729,45
05-12-2017;Dankort-nota FDB Kvickly Rø 59111;05-12-2017;-130,00;1778,45
05-12-2017;Dankort-nota FDB Kvickly Rø 59109;05-12-2017;-369,35;1908,45
05-12-2017;Dankort-nota Vibegård       30218;05-12-2017;-25,00;2277,80
04-12-2017;Dankort-nota TELMORE A/S    VD7NB;04-12-2017;-130,34;2302,80
04-12-2017;Dankort-nota FDB Kvickly Rø 48401;04-12-2017;-226,95;2433,14
04-12-2017;Dankort-nota FDB Kvickly Rø 18991;04-12-2017;-20,00;2660,09
04-12-2017;Dankort-nota FDB Kvickly Røn 7552;04-12-2017;-234,97;2680,09
04-12-2017;Dankort-nota Netto Rønne    95444;04-12-2017;-84,50;2915,06
04-12-2017;Dankort-nota Brændepladsen  65464;04-12-2017;-200,00;2999,56
04-12-2017;Dankort-nota FDB Kvickly Rø 18703;04-12-2017;-34,00;3199,56
04-12-2017;Dankort-nota H&M 800         7463;04-12-2017;-17,88;3233,56
04-12-2017;Dankort-nota H&M 800         7392;04-12-2017;-80,00;3251,44
04-12-2017;Dankort-nota H&M 800         4233;04-12-2017;-350,00;3331,44
01-12-2017;Bs betaling MASTERCARD;01-12-2017;-640,00;3681,44
01-12-2017;Dankort-nota Rønne Syd FDB  90140;01-12-2017;-220,00;4321,44
01-12-2017;Dankort-nota FDB Kvickly Rø 58389;01-12-2017;-280,95;4541,44
01-12-2017;Dankort-nota FDB Kvickly Rø 58336;01-12-2017;-181,90;4822,39
30-11-2017;Bgs Gevinstopsparing;30-11-2017;-2990,00;5004,29
30-11-2017;Bgs Gevinstopsparing;30-11-2017;-2500,00;7994,29
30-11-2017;Bgs Gevinstopsparing;30-11-2017;-2000,00;10494,29
30-11-2017;Bgs Fra Gevinstopsparing;30-11-2017;2700,00;12494,29
30-11-2017;Bgs budget;30-11-2017;-10000,00;9794,29
30-11-2017;Dankort-nota Netto Rønne    91941;30-11-2017;-138,95;19794,29
30-11-2017;Dankort-nota Rønne Syd FDB  89243;30-11-2017;-261,00;19933,24
30-11-2017;Dankort-nota REMA 1000 Rønn 64744;30-11-2017;-360,65;20194,24
30-11-2017;Dankort-nota Rønne Apotek   64711;30-11-2017;-588,70;20554,89
30-11-2017;Dankort-nota Vibegård       30066;30-11-2017;-30,00;21143,59
30-11-2017;104: UDBET. FRA DSA;30-11-2017;7626,00;21173,59
30-11-2017;Tjenestemandspension;30-11-2017;1701,00;13547,59
30-11-2017;Pension fra PKA                    Meddelnr. 19732134217334           PENSIONSKASSERNES;30-11-2017;6564,01;11846,59
30-11-2017;Løn;30-11-2017;5161,87;5282,58
29-11-2017;Bgs Fra Gevinstopsparing;29-11-2017;700,00;120,71
29-11-2017;Dankort-nota DagliB Svaneke 77535;29-11-2017;-76,90;-579,29
29-11-2017;Dankort-nota Vibegård       29927;29-11-2017;-25,00;-502,39
29-11-2017;Dankort-nota TANDLÆGE NIELS 14259;29-11-2017;-377,05;-477,39
27-11-2017;Dankort-nota REMA 1000 Rønn 59427;27-11-2017;-218,75;-100,34
27-11-2017;Dankort-nota Land & Fritid- 12239;27-11-2017;-69,95;118,41
27-11-2017;Dankort-nota H&M 800         8942;27-11-2017;-191,88;188,36
27-11-2017;Dankort-nota RØNNE FISKEFORR 7929;27-11-2017;-92,00;380,24
27-11-2017;Dankort-nota H&M 800         6891;27-11-2017;-103,20;472,24
27-11-2017;Dankort-nota H&M 800         6888;27-11-2017;-79,20;575,44
27-11-2017;Dankort-nota FDB Kvickly Rø 43939;27-11-2017;-179,95;654,64
24-11-2017;Bgs Fra Gevinstopsparing;24-11-2017;1000,00;834,59
23-11-2017;Dankort-nota Vibegård       29711;23-11-2017;-41,00;-165,41
22-11-2017;Dankort-nota FDB Kvickly Rø 46506;22-11-2017;-68,95;-124,41
22-11-2017;Dankort-nota FDB Kvickly Rø 11382;22-11-2017;-425,00;-55,46
21-11-2017;Dankort-nota Netto Rønne    80015;21-11-2017;-132,71;369,54
21-11-2017;Dankort-nota Musikhuset Born 3853;21-11-2017;-45,00;502,25
21-11-2017;Dankort-nota DANTAXI        43284;21-11-2017;-125,00;547,25
21-11-2017;Dankort-nota H&M 815         8744;21-11-2017;-149,90;672,25
20-11-2017;MobilePay: Susanne M;19-11-2017;45,00;822,15
20-11-2017;MobilePay: Palle Arn;20-11-2017;500,00;777,15
20-11-2017;MobilePay: Palle Arn;20-11-2017;500,00;277,15
20-11-2017;MobilePay: Palle Arn;20-11-2017;500,00;-222,85
20-11-2017;MobilePay: Palle Arn;20-11-2017;500,00;-722,85
20-11-2017;Dankort-nota Illums Bolighu 92243;20-11-2017;-300,00;-1222,85
20-11-2017;Dankort-nota Illums Bolighu 58187;20-11-2017;-239,80;-922,85
17-11-2017;Dankort-nota Illums Bolighu 97597;17-11-2017;-199,95;-683,05
16-11-2017;Dankort-nota Victoria´s     39780;16-11-2017;-329,00;-483,10
16-11-2017;Dankort-nota Magasin, Kgs N 33225;16-11-2017;-315,00;-154,10
16-11-2017;Dankort-nota Magasin, Kgs N 19221;16-11-2017;-440,00;160,90
16-11-2017;Dankort-nota FJELD & FRITID 16422;16-11-2017;-5013,50;600,90
16-11-2017;Dankort-nota ESPRIT DE CORP. 1798;16-11-2017;-339,99;5614,40
15-11-2017;Bgs Fra Grundkonto med b           etaling;14-11-2017;2000,00;5954,39
15-11-2017;Bgs Fra Gevinstopsparing;14-11-2017;4000,00;3954,39
15-11-2017;Pengeautomat den 15.11. kl. 15.46  0650-74 eksnr. 1204;15-11-2017;-500,00;-45,61
15-11-2017;Dankort-nota Færgen Caterin 61211;15-11-2017;-128,85;454,39
14-11-2017;Dankort-nota Rønne Apotek   63249;14-11-2017;-74,25;583,24
14-11-2017;Dankort-nota RØNNE FISKEFORR 6506;14-11-2017;-167,50;657,49
14-11-2017;danmark;14-11-2017;708,41;824,99
13-11-2017;Dankort-nota FDB Kvickly Rø 67461;13-11-2017;-218,90;116,58
13-11-2017;Dankort-nota REMA 1000 Rønn 47024;13-11-2017;-192,60;335,48
13-11-2017;Dankort-nota FDB Kvickly Rø 42900;13-11-2017;-18,95;528,08
13-11-2017;Dankort-nota Land & Fritid- 17916;13-11-2017;-69,95;547,03
13-11-2017;Dankort-nota SIMON'S A/S    69490;13-11-2017;-764,96;616,98
13-11-2017;Dankort-nota SIMON'S A/S    34824;13-11-2017;-283,46;1381,94
10-11-2017;Dankort-nota MENY             070;10-11-2017;-24,95;1665,40
09-11-2017;Dankort-nota FDB Kvickly Rø 39019;09-11-2017;-277,88;1690,35
09-11-2017;Dankort-nota Vibegård       29094;09-11-2017;-25,00;1968,23
08-11-2017;Dankort-nota REMA 1000 Rønn 88528;08-11-2017;-280,90;1993,23
07-11-2017;Dankort-nota H&M 811         2475;07-11-2017;-279,80;2274,13
06-11-2017;Dankort-nota Fakta Q Lyngby 77634;06-11-2017;-134,90;2553,93
06-11-2017;Dankort-nota Eat Me           932;06-11-2017;-130,00;2688,83
03-11-2017;Pengeautomat den 03.11. kl. 13.51  0650-74 eksnr. 0137;03-11-2017;-500,00;2818,83
03-11-2017;Dankort-nota A+ Rønne       28604;03-11-2017;-449,10;3318,83
03-11-2017;Dankort-nota TELMORE A/S    4HLIB;03-11-2017;-130,34;3767,93
01-11-2017;Bs betaling MASTERCARD;01-11-2017;-632,00;3898,27
31-10-2017;Bgs Gevinstopsparing;31-10-2017;-3000,00;4530,27
31-10-2017;Bgs budget;31-10-2017;-10000,00;7530,27
31-10-2017;Dankort-nota FDB Kvickly Rø 62134;31-10-2017;-342,75;17530,27
31-10-2017;Dankort-nota Vibegård       28502;31-10-2017;-25,00;17873,02
31-10-2017;104: UDBET. FRA DSA;31-10-2017;9187,00;17898,02
31-10-2017;Tjenestemandspension;31-10-2017;1701,00;8711,02
31-10-2017;Pension fra PKA                    Meddelnr. 02892406817304;31-10-2017;6564,01;7010,02
31-10-2017;Gebyr, overf. 29.09 - 31.10.2017   Netbank, stk. 2;01-11-2017;-2,00;446,01
30-10-2017;Bgs Thomas;27-10-2017;-50,00;448,01
30-10-2017;Bgs Fra Gevinstopsparing;30-10-2017;500,00;498,01
30-10-2017;Bgs Fra Gevinstopsparing;29-10-2017;500,00;-1,99
30-10-2017;Bgs th;27-10-2017;-500,00;-501,99
30-10-2017;Pengeautomat den 30.10. kl. 11.07  0650-74 eksnr. 9517;30-10-2017;-500,00;-1,99
30-10-2017;MobilePay:  Thomas N;28-10-2017;650,00;498,01
30-10-2017;MobilePay:  Thomas N;27-10-2017;1,00;-151,99
30-10-2017;Dankort-nota Imerco Rønne   96617;30-10-2017;-199,96;-152,99
30-10-2017;Dankort-nota MENY           51350;30-10-2017;-119,85;46,97
30-10-2017;Dankort-nota Netto Rønne    45857;30-10-2017;-40,00;166,82
30-10-2017;Dankort-nota REMA 1000 Rønn 28925;30-10-2017;-245,45;206,82
30-10-2017;Dankort-nota Imerco Rønne   24327;30-10-2017;-631,84;452,27
30-10-2017;Dankort-nota Land & Fritid- 11367;30-10-2017;-69,95;1084,11
30-10-2017;Dankort-nota MobilePay      43336;30-10-2017;-1,00;1154,06
30-10-2017;Dankort-nota MobilePay      28465;30-10-2017;-100,00;1155,06
27-10-2017;Dankort-nota REMA 1000 Rønn 27425;27-10-2017;-98,80;1255,06
25-10-2017;Dankort-nota FDB Kvickly Rø 24383;25-10-2017;-294,98;1353,86
25-10-2017;Dankort-nota FDB Kvickly Røn 8829;25-10-2017;-28,00;1648,84
24-10-2017;Dankort-nota Rønne Syd FDB  67604;24-10-2017;-88,00;1676,84
24-10-2017;Dankort-nota Q8 Service - 8 51543;24-10-2017;-10,00;1764,84
24-10-2017;Dankort-nota REMA 1000 Rønn 24428;24-10-2017;-268,65;1774,84
24-10-2017;Dankort-nota Ostehjørnet    16602;24-10-2017;-66,60;2043,49
23-10-2017;Dankort-nota REMA 1000 Rønn 20826;23-10-2017;-169,95;2110,09
19-10-2017;Dankort-nota Rønne Apotek   69578;19-10-2017;-132,05;2280,04
19-10-2017;Dankort-nota MobilePay      17497;19-10-2017;-60,00;2412,09
19-10-2017;Dankort-nota MobilePay      16226;19-10-2017;-50,00;2472,09
19-10-2017;Dankort-nota Restaurant Texa 1866;19-10-2017;-275,00;2522,09
16-10-2017;Dankort-nota MobilePay      43627;16-10-2017;-60,00;2797,09
16-10-2017;Dankort-nota REMA 1000 Rønn 15297;16-10-2017;-314,10;2857,09
16-10-2017;Dankort-nota Gudhjem Bakke   3940;16-10-2017;-450,00;3171,19
13-10-2017;Pengeautomat den 13.10. kl. 12.21  0656-72 eksnr. 5577;13-10-2017;-500,00;3621,19
13-10-2017;Fremmed valuta;13-10-2017;1417,40;4121,19
12-10-2017;Dankort-nota Netto Rønne    87045;12-10-2017;-199,35;2703,79
12-10-2017;Dankort-nota REMA 1000 Rønn 10713;12-10-2017;-156,00;2903,14
10-10-2017;Dankort-nota Rønne Syd FDB  59737;10-10-2017;-24,50;3059,14
10-10-2017;Dankort-nota REMA 1000 Rønne 8593;10-10-2017;-81,95;3083,64
09-10-2017;Bgs Gevinstopsparing;09-10-2017;-2900,00;3165,59
09-10-2017;Bgs Gevinstopsparing;09-10-2017;-2000,00;6065,59
09-10-2017;Bgs Fra Gevinstopsparing;08-10-2017;1000,00;8065,59
09-10-2017;Dankort-nota MENY           73675;09-10-2017;-80,00;7065,59
09-10-2017;Dankort-nota Netto Rønne    21333;09-10-2017;-55,00;7145,59
09-10-2017;Dankort-nota FDB Kvickly Rø 20187;09-10-2017;-94,00;7200,59
09-10-2017;Dankort-nota Land & Fritid- 16162;09-10-2017;-149,90;7294,59
09-10-2017;104: UDBET. FRA DSA;09-10-2017;9187,00;7444,49
09-10-2017;Fremmed valuta;09-10-2017;-1495,29;-1742,51
09-10-2017;Dankort-nota MobilePay      25669;09-10-2017;-1175,00;-247,22
09-10-2017;Dankort-nota SIMON'S A/S    64342;09-10-2017;-359,95;927,78
09-10-2017;Dankort-nota Netto Rønne    18078;09-10-2017;-36,00;1287,73
09-10-2017;Dankort-nota RØNNE FISKEFORR 3618;09-10-2017;-46,00;1323,73
06-10-2017;Dankort-nota Loppeteket ApS 27694;09-10-2017;1627,75;1369,73
06-10-2017;Dankort-nota REMA 1000 Rønne 5237;06-10-2017;-118,80;-258,02
06-10-2017;Dankort-nota FDB Kvickly Røn 3741;06-10-2017;-30,00;-139,22
06-10-2017;Dankort-nota RØNNE FISKEFORR 3517;06-10-2017;-74,00;-109,22
06-10-2017;Dankort-nota Netto Åkirkeby  1845;06-10-2017;-112,95;-35,22
06-10-2017;Dankort-nota Fridolf A/S      201;06-10-2017;-454,75;77,73
05-10-2017;Dankort-nota FDB Kvickly Rø 17598;05-10-2017;-402,50;532,48
04-10-2017;Bgs Fra Gevinstopsparing;04-10-2017;1000,00;934,98
03-10-2017;Visa køb DKK     165,00            IZ *HALLEGAARD   OST               Den 29.09;03-10-2017;-165,00;-65,02
03-10-2017;Visa køb DKK      39,00            IZ *HALLEGAARD   OST               Den 30.09;03-10-2017;-39,00;99,98
03-10-2017;Dankort-nota REMA 1000 Rønne 1443;03-10-2017;-131,80;138,98
03-10-2017;Dankort-nota TELMORE A/S    HO7WB;03-10-2017;-130,34;270,78
02-10-2017;Bs betaling MASTERCARD;02-10-2017;-792,00;401,12
02-10-2017;Bgs Fra Gevinstopsparing;02-10-2017;1000,00;1193,12
02-10-2017;Dankort-nota Netto Rønne    11082;02-10-2017;-117,35;193,12
29-09-2017;Bgs Fra Grundkonto med b           etaling;29-09-2017;2500,00;310,47
29-09-2017;Bgs budget;29-09-2017;-10000,00;-2189,53
29-09-2017;Dankort-nota REMA 1000 Rønn 96756;29-09-2017;-50,95;7810,47
29-09-2017;Dankort-nota Rønne Apotek   58918;29-09-2017;-399,20;7861,42
29-09-2017;Dankort-nota DYRLÆGEGÅRDEN I 8425;29-09-2017;-118,75;8260,62
29-09-2017;Dankort-nota RØNNE FISKEFORR 2945;29-09-2017;-58,00;8379,37
29-09-2017;Dankort-nota FDB Kvickly Røn 1816;29-09-2017;-30,00;8437,37
29-09-2017;Tjenestemandspension;29-09-2017;1701,00;8467,37
29-09-2017;Pension fra PKA                    Meddelnr. 02480843517272;29-09-2017;6564,01;6766,37
29-09-2017;Dankort-nota REMA 1000 Rønn 96400;29-09-2017;-125,75;202,36
28-09-2017;Bgs Fra Gevinstopsparing;28-09-2017;500,00;328,11
28-09-2017;Dankort-nota Netto Rønne    64612;28-09-2017;-205,95;-171,89
28-09-2017;Dankort-nota MobilePay      36546;28-09-2017;-30,00;34,06
26-09-2017;Dankort-nota FDB Kvickly Rø 11526;26-09-2017;-26,50;64,06
25-09-2017;Dankort-nota REMA 1000 Rønn 76493;25-09-2017;-191,50;90,56
25-09-2017;Dankort-nota Land & Fritid- 15165;25-09-2017;-69,95;282,06
25-09-2017;Dankort-nota Ostehjørnet      839;25-09-2017;-90,00;352,01
25-09-2017;Dankort-nota Netto Rønne    98614;25-09-2017;-152,40;442,01
25-09-2017;Dankort-nota FDB Kvickly Røn 5791;25-09-2017;-79,95;594,41
22-09-2017;Dankort-nota FDB Kvickly Rø 26261;22-09-2017;29,97;674,36
22-09-2017;Dankort-nota FDB Kvickly Rø 26259;22-09-2017;-379,97;644,39
21-09-2017;Dankort-nota MobilePay      97867;21-09-2017;-100,00;1024,36
21-09-2017;Dankort-nota MATAS - 17795  59056;21-09-2017;-79,95;1124,36
21-09-2017;Dankort-nota Rønne Apotek   49553;21-09-2017;-139,15;1204,31
21-09-2017;Dankort-nota Musikhuset Born 3015;21-09-2017;-295,00;1343,46
20-09-2017;Bgs Gevinstopsparing;20-09-2017;-2000,00;1638,46
20-09-2017;Dankort-nota Ikea - 121, AC 19630;20-09-2017;-36,50;3638,46
20-09-2017;Dankort-nota Ikea - 121, AC 15748;20-09-2017;-119,50;3674,96
20-09-2017;Dankort-nota Færgen Caterin 55586;20-09-2017;-79,95;3794,46
20-09-2017;Dankort-nota Færgen Caterin 50332;20-09-2017;-54,90;3874,41
19-09-2017;Dankort-nota Rejsekort - DS 79776;19-09-2017;-300,00;3929,31
19-09-2017;Dankort-nota MobilePay      79162;19-09-2017;-500,00;4229,31
18-09-2017;Dankort-nota MobilePay      20165;18-09-2017;-82,00;4729,31
18-09-2017;Dankort-nota Netto DTU      84165;18-09-2017;-97,45;4811,31
18-09-2017;Dankort-nota Netto DTU      84025;18-09-2017;-54,50;4908,76
18-09-2017;Dankort-nota Netto Nørrevol 70584;18-09-2017;-138,95;4963,26
18-09-2017;Dankort-nota Færgen Caterin 46993;18-09-2017;-199,90;5102,21
15-09-2017;Bgs Fra Grundkonto med b           etaling;15-09-2017;2000,00;5302,11
15-09-2017;Bgs Fra Gevinstopsparing;15-09-2017;2000,00;3302,11
15-09-2017;Bgs Fra Gevinstopsparing;15-09-2017;1500,00;1302,11
15-09-2017;Dankort-nota REMA 1000 Rønn 74190;15-09-2017;-216,95;-197,89
15-09-2017;Dankort-nota MATAS - 17796  41770;15-09-2017;-79,95;19,06
15-09-2017;Dankort-nota Land & Fritid- 14779;15-09-2017;-399,95;99,01
15-09-2017;Dankort-nota FDB Kvickly Røn 4239;15-09-2017;-288,95;498,96
15-09-2017;Dankort-nota RØNNE FISKEFORR 1603;15-09-2017;-220,00;787,91
14-09-2017;Bgs Fra Grundkonto med b           etaling;14-09-2017;1000,00;1007,91
14-09-2017;Dankort-nota BALTIC SEA GLA 93954;14-09-2017;-210,00;7,91
11-09-2017;Dankort-nota REMA 1000 Rønn 77548;11-09-2017;-97,35;217,91
11-09-2017;Dankort-nota RØNNE BIO      55223;11-09-2017;-90,00;315,26
11-09-2017;Dankort-nota Rønne Syd FDB  42686;11-09-2017;-75,00;405,26
11-09-2017;Dankort-nota jem&fix Rønne  29421;11-09-2017;-29,50;480,26
11-09-2017;Dankort-nota MobilePay      68551;11-09-2017;-100,00;509,76
11-09-2017;Dankort-nota FDB Kvickly Rø 41221;11-09-2017;-72,00;609,76
11-09-2017;Dankort-nota MobilePay      97035;11-09-2017;-200,00;681,76
07-09-2017;Dankort-nota REMA 1000 Rønn 71990;07-09-2017;-77,45;881,76
06-09-2017;Bgs Fra Grundkonto med b           etaling;06-09-2017;1500,00;959,21
06-09-2017;Dankort-nota Bornholms Travs 6974;06-09-2017;-300,00;-540,79
05-09-2017;Dankort-nota Jensens Bageri 64179;05-09-2017;-46,00;-240,79
05-09-2017;Dankort-nota MobilePay      59819;05-09-2017;-100,00;-194,79
05-09-2017;Dankort-nota MATAS - 17795  56403;05-09-2017;-199,90;-94,79
05-09-2017;Dankort-nota MobilePay      73847;05-09-2017;-97,00;105,11
04-09-2017;Dankort-nota FDB Kvickly Rø 97214;04-09-2017;-429,80;202,11
04-09-2017;Dankort-nota DYRLÆGEGÅRDEN I 7332;04-09-2017;-790,58;631,91
04-09-2017;Dankort-nota TELMORE A/S    Z786B;04-09-2017;-130,34;1422,49
04-09-2017;Dankort-nota FDB Kvickly Rø 96785;04-09-2017;-73,45;1552,83
04-09-2017;Dankort-nota REMA 1000 Rønn 69018;04-09-2017;-92,75;1626,28
04-09-2017;Dankort-nota REMA 1000 Rønn 68475;04-09-2017;-113,85;1719,03
04-09-2017;Dankort-nota Jensens Bageri 63713;04-09-2017;-41,00;1832,88
04-09-2017;Dankort-nota SIMON'S A/S    61337;04-09-2017;-239,96;1873,88
04-09-2017;Dankort-nota SIMON'S A/S    60935;04-09-2017;-279,96;2113,84
04-09-2017;Dankort-nota SIMON'S A/S    23006;04-09-2017;-239,96;2393,80
04-09-2017;Dankort-nota Gudhjem Bakke   3398;04-09-2017;-450,00;2633,76
01-09-2017;Bs betaling MASTERCARD;01-09-2017;-461,00;3083,76
01-09-2017;Dankort-nota REMA 1000 Rønn 66585;01-09-2017;-224,15;3544,76
01-09-2017;Dankort-nota TANDLÆGE NIELS 13440;01-09-2017;-290,44;3768,91
01-09-2017;MobilePay:  Thomas N;01-09-2017;130,00;4059,35
01-09-2017;Dankort-nota H&M 800         7119;01-09-2017;-378,10;3929,35
31-08-2017;Bgs Gevinstopsparing;31-08-2017;-2700,00;4307,45
31-08-2017;Bgs budget;31-08-2017;-10000,00;7007,45
31-08-2017;Dankort-nota MobilePay      93940;31-08-2017;-750,00;17007,45
31-08-2017;104: UDBET. FRA DSA;31-08-2017;9187,00;17757,45
31-08-2017;Tjenestemandspension;31-08-2017;1700,33;8570,45
31-08-2017;Pension fra PKA                    Meddelnr. 02144761317243;31-08-2017;6564,01;6870,12
30-08-2017;Dankort-nota FDB Kvickly Rø 93918;30-08-2017;-217,45;306,11
30-08-2017;Dankort-nota FDB Kvickly Rø 93813;30-08-2017;-236,40;523,56
30-08-2017;Dankort-nota REMA 1000 Rønn 64372;30-08-2017;-126,45;759,96
29-08-2017;Bgs Fra Gevinstopsparing;29-08-2017;1000,00;886,41
29-08-2017;Dankort-nota FDB Kvickly Rø 93104;29-08-2017;-45,00;-113,59
29-08-2017;Dankort-nota Ostehjørnet    13143;29-08-2017;-111,30;-68,59
28-08-2017;Dankort-nota MobilePay      96887;28-08-2017;-50,00;42,71
28-08-2017;Dankort-nota MobilePay      51018;28-08-2017;-85,00;92,71
25-08-2017;Pengeautomat den 25.08. kl. 14.16  0650-73 eksnr. 7010;25-08-2017;-300,00;177,71
23-08-2017;Dankort-nota NORD SALON     29869;23-08-2017;-380,00;477,71
22-08-2017;Visa køb DKK      68,00            IZ *NORREKAS IS AP                 Den 18.08;22-08-2017;-68,00;857,71
21-08-2017;Pengeautomat den 19.08. kl. 13.05  0650-73 eksnr. 6393;19-08-2017;-500,00;925,71
